Date,Track,RaceNumber,HorseNumber,HorseName,Weight,RSRLastRun,Barrier,Jockey,Odds,Trainer,RunsFromSpell,DaysSinceLastRun,LastStartFinishPosition,Distance,Age,Starts,FinishPosition,RSR
7/11/2023,Ascot,6,1,Mercurius,60,77.3,3,Holly Watson,7.5,Steven Burton,5,20,1,1800,5,16,9,66.58333304
7/11/2023,Ascot,6,2,Vevinsky,58,71.25714267,6,Brandon Louis,7,D R Harrison,4,17,9,1800,5,24,5,73.23333319
7/11/2023,Ascot,6,3,Ocean Aura,58.5,68.96875,9,Chris Parnham,6.5,P E Roberts,1,20,10,1800,6,16,4,73.78611118
7/11/2023,Ascot,6,4,Mingora,58,71.728125,5,W Pike,4.400000095,P J Fernie,7,9,2,1800,5,19,2,76.44166665
7/11/2023,Ascot,6,5,Devonia,56.5,74.28611118,7,B Parnham,7,Brian Kersley,1,20,5,1800,5,17,3,72.49166681
7/11/2023,Ascot,6,6,Allaboutthecraic,54.5,74.6,1,S Mc Gruddy,5,A W Maley,7,11,1,1800,5,32,6,68.60000015
7/11/2023,Ascot,6,7,Gin 'n' Swanic,54.5,71.1,2,S Parnham,21,Mack Hall,15,43,2,1800,6,35,8,63.40555556
7/11/2023,Ascot,6,8,Gratias Deo,52.5,71.90295827,4,Luke Campbell,9.5,Daniel O'Connor,2,12,5,1800,6,19,1,72.5
7/11/2023,Ascot,6,9,Tell Nothin',54.5,48.85,8,Michael Poy,26,Ms J Mitchell,7,27,8,1800,5,26,7,66.91944474
7/11/2023,Ascot,7,1,Feuding,59.5,76.025,6,Jarrad Noske,11,D L Morton,6,17,5,2150,5,22,5,79.35000004
7/11/2023,Ascot,7,2,Dun With The Blues,59,78.6,4,Clinton Porter,2.400000095,D & B Pearce,5,43,1,2150,4,8,3,79.70000004
7/11/2023,Ascot,7,4,Big Swoop,58.5,77,2,S Parnham,15,R J Malpass,3,20,1,2150,6,41,9,68.49999943
7/11/2023,Ascot,7,5,Mystical Man,58,72.15000014,8,P Carbery,31,Mollie Clark,7,10,11,2150,6,26,4,78.30000007
7/11/2023,Ascot,7,6,Toni's Spirit,58,77.55,10,Michael Poy,7,Jordan Rolfe,6,10,3,2150,5,8,2,79.95000002
7/11/2023,Ascot,7,7,Niigata,56.5,74.07499993,7,Joseph Azzopardi,15,D T McAuliffe,1,20,7,2150,5,31,6,73.94999986
7/11/2023,Ascot,7,8,God's Garden,56,77.95000007,9,Jordan Turner,9.5,Sue Olive,10,10,5,2150,6,13,7,72.04999986
7/11/2023,Ascot,7,9,Queen Of Jerusalem,56,72.69999971,11,C Staples,61,Greg Cave,7,10,12,2150,5,21,10,66.35000029
7/11/2023,Ascot,7,10,Grace Du Roi,55.5,72.4187497,3,Chris Parnham,26,T D Tasker,7,3,8,2150,5,21,11,62.34999943
7/11/2023,Ascot,7,11,My Fair Balentine,53,65.14999943,1,Luke Campbell,31,Ms S L Miller,9,9,5,2150,7,52,8,66.35000014
7/11/2023,Ascot,7,12,Ocean Queen,55,73.57499993,5,W Pike,4.599999905,Michael Grantham,5,20,5,2150,4,10,1,78.6
7/11/2023,Ascot,8,1,Super Smink,58,86.5,1,Chris Parnham,1.549999952,D L Morton,1,10,1,1400,3,6,2,86.84642867
7/11/2023,Ascot,8,2,More Special,55,68.64999989,8,C Staples,81,P H Jordan,1,17,4,1400,3,12,11,74.23214286
7/11/2023,Ascot,8,4,Paris Calling,55,78.72500002,10,S Mc Gruddy,19,T M Andrews,2,13,2,1400,3,6,5,79.53571438
7/11/2023,Ascot,8,5,Generosity,55,67.73333328,6,P Carbery,12,Simon Miller,2,17,5,1400,3,4,4,79.92857162
7/11/2023,Ascot,8,6,Guarding Heaven,54,79.3,11,B Parnham,101,Ryan Hill,2,19,1,1400,3,9,6,78.34285714
7/11/2023,Ascot,8,7,Ayumi,54,66.08333344,5,Michael Poy,31,T M Andrews,2,13,5,1400,3,5,9,76.7714282
7/11/2023,Ascot,8,8,Miss Rockjoy,54,65.57083333,7,Jordan Turner,101,Sue Olive,4,13,3,1400,3,8,3,81.09285733
7/11/2023,Ascot,8,9,Chollima,54,78.5,9,Clinton Porter,6.5,D T McAuliffe,1,12,1,1400,3,3,7,77.36071429
7/11/2023,Ascot,8,10,Keshi Boom,54,76.5,3,W Pike,6,G & A Williams,1,27,1,1400,3,2,1,86.2
7/11/2023,Ascot,8,11,Hoba Meteor,54,66.88750022,2,Holly Watson,71,D M Luciani,4,13,2,1400,3,4,8,76.96785752
7/11/2023,Ascot,8,12,Janny,54,73.1,4,Joseph Azzopardi,61,G & A Williams,2,12,1,1400,3,4,10,76.37857143
7/11/2023,Ascot,9,1,Becalotti,58.5,81.10000009,10,Madi Derrick,3,Tiarnna Robertson,7,10,7,1200,4,10,3,77.87500011
7/11/2023,Ascot,9,3,Mocha Dream,59.5,79.7,2,Clinton Porter,8,A G Durrant,2,11,1,1200,4,9,8,73.17500044
7/11/2023,Ascot,9,4,Aiyza,58.5,64.78928646,5,Holly Watson,51,Matthew Scott,0,108,7,1200,4,19,7,73.97916667
7/11/2023,Ascot,9,5,Kings Sicario,58,78.95357143,4,B Parnham,7,C & M Gangemi,0,146,4,1200,4,9,2,79.76666664
7/11/2023,Ascot,9,6,Magnalee,58,77.93333333,9,Joseph Azzopardi,21,D R Harrison,0,174,5,1200,4,12,10,71.51666645
7/11/2023,Ascot,9,7,Galancy,56.5,72.81666645,6,Michael Poy,19,V A Brockman,0,90,6,1200,5,14,4,76.04583339
7/11/2023,Ascot,9,8,Stormy Tawny,56.5,77.74999994,11,W Pike,5,G & A Williams,3,30,3,1200,4,7,1,80.4
7/11/2023,Ascot,9,9,Bin Shalaa,55,71.24999974,8,S Parnham,61,Ryan Hill,3,13,5,1200,5,29,11,66.36666689
7/11/2023,Ascot,9,10,Sabino,55,68.32692328,7,Chris Parnham,21,N D Parnham,8,19,7,1200,6,26,6,73.24166689
7/11/2023,Ascot,9,11,Scorpion Ruler,54,72.7,1,S Mc Gruddy,5,Joshua Krispyn,1,12,1,1200,3,1,5,72.89999978
7/11/2023,Ascot,9,12,Tiny'n'tuff,52,78.9,3,Luke Campbell,101,Matthew Scott,37,10,1,1200,5,51,9,66.71666645
7/11/2023,Bunbury,1,1,Brave Spirit,57,80.95357143,3,P Harvey,1.600000024,S J Wolfe,3,17,3,1420,3,4,2,74.3584507
7/11/2023,Bunbury,1,2,Skytalker,57,73.07083333,7,J Whiting,3.200000048,Indianna Weinert,1,13,5,1420,3,2,5,70.67887305
7/11/2023,Bunbury,1,3,Fly With Caution,57,61.65769271,9,Kristy Bennett,31,R M Witten,0,82,7,1420,3,2,1,79.2
7/11/2023,Bunbury,1,4,Ezelove,57,58.7829791,4,Jade Mc Naught,71,Ms M J Midgley,2,12,7,1420,3,2,8,62.9323951
7/11/2023,Bunbury,1,5,Tamleo,54,55.64440433,8,Cassey Martinan,101,Joshua McLeod,1,12,9,1420,3,1,9,21.02535359
7/11/2023,Bunbury,1,6,Omerta Grace,55,NULL,5,Brayden Gaerth,21,J F Miller,0,NULL,NULL,1420,3,0,6,66.36760526
7/11/2023,Bunbury,1,7,Let Sparks Fly,55,69.37446809,6,Lucy Warwick,7,D & B Pearce,3,12,2,1420,3,3,3,71.20915502
7/11/2023,Bunbury,1,8,Dark Mist,55,60.98794289,2,Ms K Yuill,41,Ms D Riordan,1,12,8,1420,3,1,7,64.23732376
7/11/2023,Bunbury,1,9,Right To Silence,55,59.49025271,1,Austin Galati,71,C G Willis,1,12,11,1420,3,1,4,69.27253484
7/11/2023,Bunbury,2,1,Moon Dog,55,65.28757412,2,Ava Catarino,61,David Catarino,4,12,6,1705,6,32,10,57.25483902
7/11/2023,Bunbury,2,2,The Mighty Butch,58,63.6382975,10,J Brown,31,Jeremy Easthope,8,12,6,1705,4,15,7,64.00967742
7/11/2023,Bunbury,2,3,Coventry Reef,58,70.0473372,6,Alan Kennedy,5,Ms R Nairn,2,12,2,1705,4,9,2,72.07419355
7/11/2023,Bunbury,2,4,Killarney,58,69.39644967,8,Ms K Yuill,4.800000191,Takahide Ikenushi,2,12,3,1705,4,4,5,69.97741943
7/11/2023,Bunbury,2,5,Flash Paddy,58,71.04964539,9,P Harvey,2.25,Ms R L Mills,1,12,4,1705,4,4,3,71.91290338
7/11/2023,Bunbury,2,6,Tribal Ruler,56,70.47500019,1,Brayden Gaerth,6.5,Robert Gulberti,1,11,3,1705,4,3,6,66.11935515
7/11/2023,Bunbury,2,7,Whaitiri,56,66.46745547,4,J Whiting,15,G A Crispin,2,12,4,1705,6,39,4,68.70000015
